date,lender,amount,borrower,industry,structure,description,location
12/17/2019,Ares Commercial Finance [Lender],$11.2 MM,"NHI Mechanical Motion, LLC",Manufacturing,Senior Secured Credit Facility,"Facility is comprised of a revolving line of credit, a real estate term loan and a term loan secured by machinery and equipment.  Proceeds from the financing were used to support the acquisition of the business and for ongoing working capital support. Transaction details not disclosed.",
12/17/2019,"JPMorgan Chase Bank [Joint Bookrunner, Joint Lead Arranger]
Bank of America Securities [Joint Bookrunner, Joint Lead Arranger]
Citizens Bank [Joint Bookrunner, Joint Lead Arranger]",$800.0 MM,Kaman Corporation,Aerospace,Revolver Amendment; Increase,"An amended and restated $800 million credit facility. The new credit facility amends and restates the Company’s prior credit facility to, among other things: (i) extend the maturity date to December 2024; (ii) increase the aggregate amount of revolving commitments from $600 million to $800 million; (iii) modify the affirmative and negative covenants set forth in the facility; and (iv) effectuate a number of additional modifications to the terms and provisions of the facility, including its pricing.The amended and restated facility is collateralized by the Company’s tangible and intangible personal property and other assets (excluding real estate), including the stock and assets of its material domestic subsidiaries that are guarantors of the facility, and includes a typical financial covenant package, which the company believes reflects current market terms and conditions. The facility includes an accordion feature that allows the company to increase the aggregate amount available to up to $1.0 billion with additional commitments from the lenders.",
12/18/2019,TAB Bank [Lender],$4.0 MM,Undisclosed,Transportation,Asset-Based Revolver,"The new facility is extended through a multi-year agreement and will provide for the company’s ongoing working capital needs. In addition to the working capital facility, TAB has also provided $1.2 million in equipment financing for the company.Transaction details not disclosed.",KY
12/19/2019,"Bank of America Securities [Lender]
Credit Suisse Bank [Lender]",$200.0 MM,Vivint Solar,Energy,Revolving Asset-based Loan,"The facility will help fund the company's continued growth in 2020 and beyond by allowing Vivint Solar to finance the purchase of safe harbor equipment and receive attractive advance rates on projects throughout the development life cycle.  Vivint Solar intends that the equipment purchased in 2019 and funded in part through this Asset Financing Facility will allow solar energy systems to qualify for a 30% Federal investment tax credit (ITC) by satisfying the 5% safe harbor method outlined in IRS notice 2018-59.  In addition, proceeds from the Asset Financing Facility will be used by the company to refinance its existing working capital credit facility that was set to mature in 2020. Transaction details not disclosed.",
12/19/2019,Citizens Commercial Banking [Lender],$42.0 MM,Stoli Group USA,Specialty Industries,Asset-Based Credit Facility,Transaction details not disclosed.,
12/19/2019,Siena Lending Group LLC [Lender],$9.0 MM,Subs of Interactive Health,Medical,Revolving Credit Facility,"A three-year $9.0 million revolving credit facility for the subsidiaries of Interactive Health, Inc., Human Touch LLC and Relax the Back Corporation. The asset-based credit facility was used to refinance existing debt and provide additional working capital to support business growth. Transaction details not disclosed.",
12/19/2019,Sallyport Commercial Finance [Arranger],$8.5 MM,Undisclosed,Constuction Supply,A/R Facility,Accounts Receivable facility to an established construction supply company serving North Texas. Transaction details not disclosed.,TX
12/19/2019,City National Bank [Lender],$3.0 MM,Omni-Lite Industries Canada,Aerospace,Revolving Line of Credit,"A refinancing of its current US$700,000 senior bank credit facility with the entering of a new three-year, US$3.0 million revolving line of credit facility with City National Bank, an RBC Company.  Proceeds from the initial drawdown were used to repay in full and terminate the Company’s existing line of credit agreement.  In addition, the new revolving credit facility provides for the expansion of our borrowing capacity to $3.0 million along with a December 2022 maturity.  Under the terms of the new credit agreement, the Company has agreed to certain conditions and financial covenants including fixed charge coverage and maximum leverage. In addition, the Company has received cash proceeds from the Company’s former CEO of approximately US$400,000 in payment in full of its outstanding loan receivable.  Such proceeds will further support the Company’s financial flexibility and strength, in conjunction with the new revolving line of credit facility, to pursue strategic, operational, and other opportunities to drive long-term value creation.",CA
12/23/2019,"Encina Business Credit, LLC [Lender]",$15.0 MM,Undisclosed,Metals and Mining,Senior Secured Credit Facility,The facility consists of a revolving line of credit based on accounts receivable and equipment. Loan proceeds will be used to support working capital and maintenance capex. Transaction details not disclosed.,
12/23/2019,Bank of Montreal [Lender],$12.5 MM,"AgroFresh Solutions, Inc.",Food Production - Processing,"Revolver Amendment, Extension","An amendment and extension of its revolving credit facility, which enhances the Company’s liquidity and financial flexibility. Extends AgroFresh’s existing $12.5 million revolving credit facility to April 1, 2021. The amendment also includes favorable revisions to the senior secured net leverage ratio. Borrowings under the revolver may continue to be prepaid in-full or in-part at any time and borrowing rates remain the same as per the existing Credit Agreement. Transaction details not disclosed.",
12/23/2019,Sprott Resource Lending Partnership [Lender],$14.0 MM,Alderon Iron Ore Corp.,Metals and Mining,Loan Facility,"Extension of the term of the facility. The Loan Facility had an original maturity date of December 31, 2019 (the “Original Maturity Date”) and will now be extended to February 14, 2020. Alderon and the Kami LP are currently evaluating several strategic transactions and this extension provides additional time to continue to pursue these opportunities.Transaction details not disclosed.",
12/23/2019,Wells Fargo Bank [Lender],$60.0 MM,"Hudson Technologies, Inc.",Specialty Industries,Revolving Credit Facility,"In conjunction with entry into the Wells Fargo credit facility, the Company repaid in full its revolving loans from PNC Bank, National Association and the revolving credit facility with PNC Bank was terminated. Furthermore, on December 19, 2019 Hudson entered into a Waiver and Fourth Amendment to its Term Loan Credit and Security Agreement (the ""Fourth Amendment""). The Fourth Amendment waived financial covenant defaults at June 30, 2019 and September 30, 2019 and amended the Term Loan Credit and Security Agreement to reset the maximum total leverage ratio financial covenant through December 31, 2021; reset the minimum liquidity requirement; and added a minimum LTM adjusted EBITDA covenant.",NY
12/23/2019,Pharmakon Advisors LP [Lender],$150.0 MM,"Global Blood Therapeutics, Inc.",Life Sciences,Non-Dilutive Term Loan,"A $150MM loan agreement with funds managed by Pharmakon advisor LP. The non-dilutive loan agreement provides GBT with a $150 million term loan. The first $75 million will be drawn in connection with the close of the transaction, and an additional tranche of $75 million is available for GBT to draw at its option until December 31, 2020. The loan matures in December 2025 and can be prepaid at GBT’s discretion, at any time, subject to prepayment fees.",CA
12/24/2019,Nordic Investment Bank [Lender],$150.0 MM,Ericsson,Technology,Credit Facility,"Credit facility with the Nordic Investment Bank (NIB) for $150 million, maturing in 2025. Of these new funds, 98 million will replace credit with NIB that was set to mature in 2021. In addition to strengthening Ericsson’s balance sheet and financial flexibility, the loan has been granted for the purpose of financing Ericsson to support investments in research and development (R&D) in relation to the development of 5G technology during the years 2020-2022. Transaction details not disclosed.",
12/24/2019,Wells Fargo Bank [Administrative Agent],$80.0 MM,"ARC Document Solutions, LLC",Office Products,Revolver Upsize,"An amendment to its Credit Agreement, initially dated as of November 20, 2014 with Wells Fargo Bank, National Association, as administrative agent (the “Agent”), and the lenders party thereto. The Amendment increases the maximum aggregate principal amount of revolving loans (“Revolving Loans”) under the Credit Agreement from $65 million to $80 million. Proceeds of a portion of the Revolving Loans available to be drawn under the Credit Agreement were used to fully repay the $49.5 million term loan that was outstanding under the Credit Agreement.The Amendment reduced the rate of maximum interest rate margin capable of being paid on Revolving Loans under the Credit Agreement by 0.50%. Specifically, London Interbank Offered Rate (LIBOR) loans borrowed under the Credit Agreement will bear interest at a per annum rate equal to the applicable LIBOR rate, plus a margin ranging from 1.25% to 1.75%, based on the Company’s Total Leverage Ratio (as defined in the Credit Agreement). Loans borrowed under the Credit Agreement that are not LIBOR rate loans bear interest at a per annum rate equal to (i) the greatest of (A) the Federal Funds Rate plus 0.50%, (B) the one month LIBOR rate plus 1.00% per annum, and (C) the rate of interest announced, from time to time, by Wells Fargo Bank, National Association as its “prime rate,” plus (ii) a margin ranging from 0.25% to 0.75%, based on the Company’s Total Leverage Ratio. The Amendment also modified the Total Leverage Ratio the Company is required to maintain under the Credit Agreement by decreasing it from 3.25 to 1.00 to 2.75 to 1.00.",
12/26/2019,Wells Fargo Bank [Administrative Agent],$750.0 MM,"Alliance Data Systems, Inc.",Technology,Revolver Amendment; Reduction,"On December 20, 2019, Alliance Data amended its credit facility, extending the maturity date from June 14, 2021 to December 31, 2022 and reducing the aggregate revolving credit commitments from $1,072.4 million to $750.0 million. Following the repayment and amendment, Alliance Data's outstanding term loan balance is $2,028.8 million.",
12/26/2019,"The Bank of Nova Scotia [Joint Lead Lender]
BMO Capital Markets [Joint Lead Lender]
TD Securities [Joint Lead Lender]
Canadian Imperial Bank of Commerce [Lender]
National Bank of Canada [Lender]
ING Capital [Lender]",$500.0 MM,Alamos Gold Inc.,Metals and Mining,Revolving Credit Facility,"Amendments to its existing undrawn revolving credit facility including an increase in the size of the Facility from US$400 million to US$500 million on more favourable terms. The Company will benefit from improved pricing under the amended Facility, including undrawn fees of 0.42% and drawn fees of LIBOR plus 1.875% at its current leverage ratio. This is down from undrawn fees of 0.45% and drawn fees of LIBOR plus 2.00% under the previous credit facility. The Facility remains undrawn and the Company debt free with cash and cash equivalents of US$186 million as of September 30, 2019. The maturity date of the Facility has been extended to December 17, 2023.",
12/26/2019,"SunTrust Robinson Humphrey [Joint Lead Arranger]
KeyBank [Joint Lead Arranger]
JPMorgan Chase Bank [Joint Lead Arranger]",$75.0 MM,"NN, Inc.",Engineering,Senior Secured Revolver,"Company successfully amended its senior credit agreement to, among other things, extend the maturity date of its revolving facility to July 20, 2022, and extend its April 2021 Term Loan B to October 19, 2022, matching the maturity date of NN's longer-dated Term Loan B. NN has used proceeds from the previously announced $100 million strategic investment in the form of perpetual preferred stock to pay off all borrowings on its Senior Secured Revolving Credit Facility.  As a result, NN reduced the size of its revolving credit facility to $75 million from $110 million.",
12/30/2019,"Encina Business Credit, LLC [Lender]",$10.0 MM,Undisclosed,Energy,Senior Secured Revolver,The facility consists of a revolving line of credit based on accounts receivable. Loan proceeds will be used to replace an existing revolver and to provide working capital and growth financing. Transaction details not disclosed.,
12/30/2019,"Nordea Bank Abp (New York Branch) [Lender]
Skandinaviska Enskilda Banken AB [Lender]
Credit Agricole Corporate and Investment Bank [Lender]
ABN AMRO Bank [Lender]
National Australia Bank Limited [Lender]
BNP Paribas [Lender]",$525.0 MM,"Diamond S Shipping, Inc.",Shipping,Term & Revolving Credit Facilities,"A five-year $525 million credit facility, composed of a $375 million term loan and a $150 million revolving credit facility. Proceeds from the new credit facility were used to repay approximately $501 million of the Company’s current outstanding term loans. The new credit facility carries an interest rate of LIBOR plus 2.5%. The repayment profile reflects a 17-year, age-adjusted amortization and the first amortization period begins on March 31, 2020. The covenant structure of the new facility is in-line with current facilities.",
12/30/2019,Maynbridge Capital Inc. [Lender],$42.7 MM,The Green Organic Dutchman Holdings Ltd.,Cannabis,Senior Secured First Lien Facility,"Company has entered into a binding term sheet with Maynbridge Capital Inc. (the “Lender”), subject to satisfactory documentation and the fulfilment of all conditions precedent, for a senior secured first lien credit facility of up to $41.7 million (the “Facility”). The Facility will replace the proposed mortgage loan as well as the sale and leaseback of its Ancaster Energy Centre, which are no longer being pursued by the Company at this time. The Facility consists of a committed $26.7 million senior secured term loan (the “Loan”) with an 18-month term and 12 monthly interest only payments followed by 6 monthly payments of principal and interest, with the principal component based on a 15-year amortization, and an additional uncommitted $15.0 million senior secured term loan (the “Accordion Loan”), with terms to be agreed between the Lender and the Company. The interest rate on the Loan will be 13% per annum and the Loan will be secured by a first lien against all assets of the Company and its material subsidiaries. The Company will issue 7,000,000 common share purchase warrants of the Company (“Warrants”) to the Lender, subject to standard adjustment provisions, on the date of closing of the Loan. Each Warrant shall be exercisable to acquire one common share of the Company for a period of 36 months from closing of the transaction at an exercise price of C$1.00 per Warrant. Upon closing of the Loan, TGOD will receive $26.7 million. A further $15 million may be made available by the Lender under the Accordion Loan upon the Lender’s credit approval and the achievement of certain operating and financial milestones, to be agreed, which the Company expects to obtain and achieve not earlier than the end of the third quarter of 2020. The Loan’s gross proceeds of $26.7 million to be received on closing (which includes the financed portion of a fee in the amount of $1.7 million) compares to the combined total of $26 million that was expected in the first tranches of the mortgage loan and the sale and leaseback previously considered by the Company. In addition, the interest only payments under the Loan in the first-year amount to only $3.5 million in cash outflow, compared to a total of $7.1 million in cash outflow for interest and lease payments that would have been due under the mortgage loan and the sale and leaseback agreement.",
12/30/2019,Inmobiliaria Bondue S.A.S. [Lender],$5.0 MM,Avicanna Inc,Cannabis,Credit Facility,"Industry
            

                Cannabis",
12/30/2019,Seaport Global Securities LLC [Placement Agent],$275.0 MM,Curaleaf Holdings,Cannabis,Senior Secured Term Loan,"Company has received commitments from a syndicate of lenders for a US$275 million Senior Secured Term Loan Facility (the ""Facility"") bearing interest at a rate of 13.0% per annum, payable quarterly in arrears, with a maturity 48 months from closing.  The proceeds will be used to refinance existing debt, satisfy transaction fees and expenses from previously announced acquisitions, fund capital expenditures and for general corporate purposes. The sole placement agent for the Facility is Seaport Global Securities LLC.",
12/31/2019,PNC Bank [Lender],$85.0 MM,Covia,Energy,Credit Facility,"$85 Million Committed Standby Credit Facility - The Company has received a commitment from PNC Bank, National Association for a new, 3-year credit facility for up to $85 million. The new facility is expected to bear interest of LIBOR plus 1.75% and be secured by the Company’s U.S. accounts receivable. In conjunction with the commitment, the Company has voluntarily canceled its $200 million revolving standby credit facility that contained restrictive covenants and carried a higher interest rate.",
12/31/2019,JPMorgan Chase Bank [Lender],$25.0 MM,Harmonic Inc.,Technology,Secured Revolver,"A Credit Agreement, by and among the Company and Harmonic International GmbH, as co-borrowers (together, the “Borrowers”), certain subsidiaries of the Company from time to time party thereto, as guarantors, and JPMorgan Chase Bank, N.A., as lender. The Credit Agreement provides for a secured revolving loan facility in an aggregate principal amount of up to $25 million, based on a borrowing base of eligible accounts receivable and inventory, with a maturity date of October 31, 2020. The Borrowers may use availability under the revolving loan facility for the issuance of letters of credit. The proceeds of the revolving loans may be used for general corporate purposes. As of December 19, 2019, there were no revolving loans outstanding under the revolving loan facility. The revolving loans bear interest, at the Borrowers’ election, at a floating rate per annum equal to either (1) 1.25% plus the greater of (i) 1 month LIBOR on any day plus 2.50% and (ii) the prime rate as reported in the Wall Street Journal from time to time or (2) 2.25% plus LIBOR for an interest period of one, two or three months. Interest on the revolving loans is payable monthly in arrears, in the case of prime rate loans, and at the end of the applicable interest period, in the case of LIBOR loans. The Borrowers are also obligated to pay other customary closing fees, commitment fees and letter of credit fees for a credit facility of this size and type.",
12/31/2019,CIBC Bank USA [Lender],$35.0 MM,S&W Seed Company,Agriculture,Asset-based Revolver,"A new $35 million asset-based revolving credit facility with CIBC Bank USA (""CIBC""). The new credit facility replaces an existing facility with a number of potential advantages to S&W including a reduction in the cost of capital, enhanced borrowing base structure, and increased flexibility to pursue its growth strategy. Transaction details not disclosed.",
7/2/2019,"Citibank [Administrative Agent, Collateral Agent, Swing Line Lender]",$1.0 B,"Garner Denver Holdings, Inc.",Specialty Industries,Senior Secured Revolver Amendment,"Company announced that on June 28, 2019, it entered into an amendment to its existing credit agreement that extended, increased and repriced the borrowing capacity under its revolving credit facility. The amendment refinances the previously existing senior secured revolving credit facility with a replacement $1 billion senior secured revolving credit facility. The availability under the replacement facility is limited to $450 million until the closing of the Company’s pending transaction with Ingersoll-Rand plc. and will be permanently reduced to $450 million if the Transaction is not completed. The amendment also, among other things, lowers the applicable interest rate for revolving loans under the facility (the initial applicable margin is now 2.25% for LIBOR loans and 1.25% for base rate loans); extends the maturity of the facility to June 2024; and provides for up to $200 million (and, following the completion of the Transaction, $400 million) to be available for the purpose of issuing letters of credit. In addition, the amendment transfers the roles of Administrative Agent, Collateral Agent and Swingline Lender under the credit agreement to Citibank, N.A.",
7/3/2019,"Atalaya Capital [Lender]
20 Gates Management LLC [Lender]",$200.0 MM,"Kabbage, Inc.",Lender Finance,Revolving Credit Facility,"Kabbage closed a $200 million revolving credit facility to support its rapid growth providing U.S. small businesses access to flexible, online funding. Building upon the momentum of Kabbage’s record $700 million securitization earlier this year, the new four-year credit facility provides the longest period of committed debt funding for the company. The senior tranche of the new dual-class transaction earned an A(sf) rating from a leading nationally recognized statistical rating organization. The debt capital commitment is provided by a subsidiary of a leading life insurance company, managed and administered by 20 Gates Management, and Atalaya Capital Management. Additional transaction details not disclosed.",
7/8/2019,"CIT Northbridge Credit [Administrative Agent, Collateral Agent]",$100.0 MM,"Hornbeck Offshore Services, Inc.",Shipping,Senior Secured Revolving Credit Facility,"Loans under the Senior Credit Facility accrue interest at LIBOR plus a floating-rate spread of 5.00% for the life of the facility. The fully-funded Senior Credit Facility is secured by first priority liens on certain eligible receivables, certain restricted cash amounts and related assets. The Senior Credit Facility enhances the Company's financial flexibility and is comprised of two tranches that will rebalance each month based on the variable eligible receivables-backed borrowing base. The unrestricted receivables-backed tranche will mature in 2022, and the restricted cash-backed tranche will mature in 2025. The receivables-backed tranche may be used for working capital and general corporate purposes, including the repayment or refinancing of existing debt, subject to, among other things, compliance with certain requirements. The cash-backed tranche may, over time, rebalance to the receivables-backed tranche as eligible receivables increase and may be refinanced over time.",
7/8/2019,"Tree Line Capital Partners, LLC [Administrative Agent, Lead Arranger]
CVC Credit Partners [Participant]",$82.3 MM,Ingenio,Specialty Industries,First Lien Credit Facility,Transaction details not disclosed. CVC Credit Partners participated in the facility.,CA
7/8/2019,Capital One N.A. Sponsor Finance [Lead Lender],$500.0 MM,Stone Point Capital,Consultancy,Senior Credit Facility,"A $500 million senior credit facility in support of the merger between American Mortgage Consultants (AMC) and Situs Holdings, both existing portfolio companies of Stone Point Capital (SPC). Capital One acted as lead arranger and administrative agent for the transaction. Transaction details not disclosed.",
7/8/2019,"Cadence Bank [Lead Arranger, Administrative Agent]
Wells Fargo Bank [Joint Lead Arranger]",$350.0 MM,"Solaris Water Midstream, LLC",Infrastructure,Revolving Credit Facility Upsize,"Company increased the size of its revolving credit facility to $350 million from $250 million. Cadence Bank N.A. acted as lead arranger and administrative agent with Wells Fargo Bank, National Association serving as joint lead arranger. The expanded facility will be used for general corporate purposes and to support Solaris Water’s continued growth initiatives in the Permian Basin. The undrawn balance of the credit facility and unfunded capital commitments from Solaris Water’s investors provide Solaris Water with $295 million of liquidity to expand its integrated water management services in the Delaware and Midland basins. Services include produced water gathering, transportation, disposal, treating and storage, as well as the delivery of treated produced water and nonpotable brackish water. In addition to Cadence Bank and Wells Fargo, the syndicated bank group also includes previous group members Citizens Bank, East West Bank, Texas Capital Bank and Woodforest National Bank and new group members BMO, Iberia Bank and RBC.",
7/8/2019,"PNC Capital Markets [Lead Arranger]
PNC Bank [Administrative Agent]",$250.0 MM,"NeoGenomics, Inc.",Medical,"Senior Secured Revolver, Term Loan","A new $250 million five-year Senior Secured Credit Agreement consisting of a $100 million Revolving Credit Facility, a $100 million Initial Term Loan, and a $50 million Delayed Draw Term Loan (DDTL) which is available for 18 months. PNC Capital Markets LLC and PNC Bank, National Association acted as lead arranger and administrative agent on the transaction, respectively. Upon closing on June 27, 2019, NeoGenomics received the Initial Term Loan Facility principal in full along with access to the Revolving Credit Facility and utilized $100 million of proceeds to retire NeoGenomics' prior outstanding term loan and revolving credit facility. NeoGenomics expects to utilize the remaining borrowing capacity to support inorganic growth opportunities and for general corporate purposes.",
7/9/2019,Mosaic Real Estate Investors [Lender],$460.0 MM,BPM Real Estate Group,Real Estate,Senior Construction Finance Facility,"An affiliate of Mosaic Real Estate Investors has provided BPM Real Estate Group with $460 million in senior construction financing for a one-million-square-foot, mixed-use development in downtown Portland, OR. The 35-story Block 216, which will encompass a full city block in the heart of downtown Portland’s Central Business District, incorporates  a mix of uses including 160,000 square feet of Class A office space, a 251-key Ritz Carlton Hotel (the first five-star hotel in Portland), 138 Ritz Carlton-branded residences and 7,800 square feet of ground level retail which will open up to a pedestrian “festival street..” With financing in place, Portland-based BPM, led by its founder Walter Bowen, will formally break ground this summer..Additional transaction details not disclosed.",OR
7/10/2019,Sterling National Bank [Lender],$35.0 MM,"Affiliates of Versa Capital Management, LLC",Apparel,Senior Secured Credit Facilities,To finance the acquisition of Alex Apparel Group.,
7/10/2019,Ares Capital [Lender],$145.0 MM,"PetIQ, Inc.",Consumer Products,Term Loan,"PetIQ, Inc., a leading pet medication and wellness company, announced it has completed the previously announced acquisition of Perrigo Animal Health, a leading manufacturer of vet quality products for pet parents, from Perrigo Company plc for $185 million in cash. Perrigo Animal Health is now an indirect wholly-owned subsidiary of PetIQ. The transaction was financed through a combination of $25 million of existing cash on hand, $145 million of new term loan financing from Ares Capital Management, with the remaining balance financed through PetIQ’s existing revolving credit facility with East West Bank. Additional transaction details not disclosed.",
7/11/2019,Cambridge Savings Bank [Lender],$4.0 MM,Magnus Textile,Textiles,Senior Secured Revolver,"A refinance of the company's existing senior debt, that will lower borrowing costs, and support future working capital needs of the company. Transaction details not disclosed.",MA
7/11/2019,Avidbank Specialty Finance [Lender],$5.5 MM,Envoy Group,Consultancy,Working Capital Credit Facility,To provide working capital for th ecompany. Transaction details not disclosed.,
7/16/2019,"Barclays Bank [Coordinating Bookrunner]
Citigroup Global Markets [Coordinating Bookrunner]
Credit Agricole Corporate and Investment Bank [Coordinating Bookrunner, Sustainability Agent]
Sumitomo Mitsui Banking Corporation [Coordinating Bookrunner]
Citibank Europe [Agent]",$1.1 B,Yara,Specialty Industries,Revolver,"A $1.1 billion five-year multicurrency revolving credit facility (""RCF"") with two one-year extension options. The RCF refinances Yara’s revolving credit facility dated 5 July 2013 and will be available for general corporate purposes. The facility has been signed by a group of 13 international relationship banks, reflecting Yara’s global footprint.The margin under the Facility will be adjusted based on Yara’s progress to meet its carbon intensity target by 2025.",
7/17/2019,Wells Fargo Commercial Capital [Lender],$50.0 MM,Alterna Capital Solutions,Lender Finance,Asset-based Credit Facility,"A $50 million asset-based credit facility with Wells Fargo Commercial Capital. The line increase, with an accordion to $70 million, will be used by Alterna Capital Solutions to meet the growing demand from small-business owners seeking a financing partner capable of long-term guidance and funding complementary to established bank relationships. transaction details not disclosed.",FL
7/17/2019,Siena Lending Group LLC [Lender],$28.0 MM,"Coloredge, Inc",Technology,ABL Revolver; Equipment Loan,"The credit facility includes an asset-based revolving line of credit along with an equipment term loan and capital expenditure facility. The loans were used to refinance existing debt and provide additional capital to support growth and equipment financing needs, and is scalable to support potential future acquisitions.",
7/17/2019,"Fifth Third Business Capital [Lender]
Phoenix Capital Resources [Arranger]",$21.5 MM,Spray Products Corporation,Manufacturing,Asset-based Financing,"Phoenix Capital Resources (“Phoenix Capital”)acted as the financial advisor and investment banker to Spray Products Corporation (the “Company”) in arranging, structuring, and negotiating a $21.5 million loan package with Fifth Third Business Capital. Proceeds from the financing will be utilized to refinance the Company’s existing credit facilities, fund additional working capital to finance its continued growth and capital expenditures associated with the expansion of its Medina, OH manufacturing and distribution facility.",
7/17/2019,"Golub Capital [Sole Lead Arranger, Administrative Agent]",$950.0 MM,E2open,Technology,GOLD Facility,GOLD facility to support E2open's acquisition of Amber Road. GOLD financings are Golub Capital One-Loan Debt facilities. Transaction details not disclosed.,NY
7/17/2019,Bank of Montreal [Administrative Agent],$2.5 B,Comstock Resources,Energy,Revolving Credit Facility,"As part of this transaction Jerry Jones, owner of the Dallas Cowboys Football Club Ltd, invested $475.0 million in the Company in exchange for 50,000,000 newly issued shares of Comstock common stock valued at $6.00 per share and $175.0 million of newly issued shares of convertible preferred stock of Comstock. This equity investment brings Mr. Jones' total investment in Comstock to approximately $1.1 billion. Comstock also assumed Covey Park's existing $625.0 million 7.5% senior notes, retired $380.0 million outstanding under Covey Park's bank credit facility and redeemed all outstanding previously issued Covey Park preferred equity for $153.4 million.  Covey Park's equity owners received $700.0 million in cash, $210.0 million of a newly issued convertible Comstock preferred stock and 28,833,000 shares of newly issued Comstock common stock valued at $6.00 per share. The total $385.0 million in newly issued preferred stock issued in the transaction has a quarterly cash dividend of 10% per annum and can be converted into shares of Comstock common stock at a conversion price of $4.00 per share on or after July 16, 2020.  The Company has the right to redeem the preferred stock at any time at face value plus accrued dividends. The Company also entered into a new $2.5 billion revolving credit facility with eighteen banks.  Bank of Montreal is serving as administrative agent for the five year revolving credit facility which has an initial borrowing base of $1.575 billion.  The Company elected to set the committed borrowing base at $1.5 billion.  The merger transaction was funded with the proceeds from the equity contribution from Mr. Jones and borrowings under the new bank credit facility.",TX
7/18/2019,"Wells Fargo Bank [Lead Arranger]
Royal Bank of Canada [Administrative Agent]",$400.0 MM,Martin Midstream Partners L.P.,Specialty Industries,"Revolver Amendment, Extension","Company amended and extended its revolving credit facility.  The amended facility extends the maturity date by approximately 3.4 years to August 2023, decreases the borrowing capacity from $500 million to $400 million and contains an accordion feature of up to an additional $100 million. As of June 30, 2019 the Partnership had borrowings of $225 million. Transaction details not disclosed.",TX
7/18/2019,"Barclays [Lead Lender]
TD Bank [Lead Lender]",$195.0 MM,Garda World Security Corporation,Security Systems,Term Facility,"An amending agreement to its Credit Agreement dated as of May 26, 2017 (the ""Incremental Agreement""). The Incremental Agreement, financed, among others, by some of GardaWorld's current lenders led by Barclays and TD Bank, provides a term incremental facility in an aggregate amount of US$194,5 million, to repay certain existing term credit facilities and for general corporate purposes, pursuant to the terms of the Incremental Agreement. This incremental facility allowed GardaWorld to pursue its expansion in the U.S. Security market. Transaction details not disclosed.",
7/18/2019,Iberiabank [Lead Lender],$50.0 MM,BBX Corporation,Specialty Industries,"Revolver Modification, Extension","Company modified certain of the terms and extended the maturity date under its Loan and Security Agreement in a multi-bank facility led by IberiaBank. The facility, which provides for a $50 million revolving line of credit, will now mature on June 30, 2021, unless otherwise amended or extended. Amounts borrowed under the facility may be used for business acquisitions, real estate investments, stock repurchases, letters of credit and general corporate purposes. The Borrowers are required to comply with certain financial covenants, including, among others, the maintenance of minimum unencumbered liquidity and financial ratios related to debt to EBITDA, as well as affirmative and negative covenants, including those that limit the ability of the Borrowers to incur additional indebtedness and to make certain loans and investments.",
7/18/2019,First Generation Capital Inc. [Lender],$5.0 MM,Acerus Pharmaceuticals Corporation,Pharmaceuticals,Secured Term Loan,"Subordinated secured term loan facility. The Loan is subordinated to the existing US$9 million facility with SWK Funding LLC (“SWK”) and bears interest at a rate per annum equal to the three-month London Inter-Bank Offered Rate (“LIBOR”), plus an applicable margin of 10.50%. Subject to the terms of the subordination and intercreditor agreement between First Generation and SWK, the Loan is repayable in full on December 31, 2020, is interest-only until maturity with regularly scheduled payments of interest to First Generation being permitted subject to certain conditions related to Acerus’ market capitalization and aggregate annual revenue, and can be prepaid in full or in part without penalty following repayment in full of indebtedness owing to SWK. The proceeds from the Loan will be used for ongoing general working capital.",
7/22/2019,"Coöperatieve Rabobank U.A., New York Branch [Administrative Agent]",$265.0 MM,Dean Foods Company,Food Production - Processing,Senior Credit Facility Upsize,"Company previously entered into a Credit Agreement, dated as of February 22, 2019 (the “Credit Agreement”), by and among the Company, the subsidiary guarantors party thereto, Coöperatieve Rabobank U.A., New York Branch, as administrative agent (the “Administrative Agent”), and the lenders party thereto, pursuant to which the lenders party thereto have provided the Company with a senior secured borrowing base revolving credit facility with a maximum facility amount of $265 million (the “Credit Facility”). Under the Credit Agreement, the Company’s borrowing base was limited to (i) at any time prior to the completion of certain conditions relating to the granting of a security interest in certain of the Company’s equipment and real property and the Company’s election to include such equipment and real property in the borrowing base, $175 million and (ii) thereafter, 65% of the appraised value of the real property and equipment included in the borrowing base at such time. On June 28, 2019, the Company and the subsidiary guarantors completed the mortgage and appraisal work required under the Credit Agreement for a substantial portion of the covered real property and equipment. The Company entered into a First Amendment to the Credit Agreement (the “Amendment”) with the Administrative Agent and the lenders party thereto to, among other things, permit the Company’s borrowing base to equal 65% of the appraised value of the real property and equipment included in the appraisal report delivered to the Administrative Agent (up to $265 million). On June 28, 2019, the Company elected to include real estate and equipment located at 16 of its facilities having an appraised value in excess of $450 million in the borrowing base.",
7/23/2019,Sun Life Assurance Company of Canada [Lender],$80.0 MM,Pawnee Leasing Corporation,Lender Finance,Credit Facility,"Sun Life Assurance Company of Canada provided the new facility to finance Pawnee's prime originations and provide additional funding for Pawnee of up to $80MM, with a cost of funds that are fixed at the time of each tranche. Transaction details not disclosed.",
